,CodCte,RucCte,NomCte,CodTipCte
907,20175865994,20175865994,GOBIERNO REGIONAL DE ANCASH-EDUCACION USE HUARI,
908,20175940015,20175940015,GOBIERNO REGIONAL DE UCAYALI-HOSPITAL AMAZONICO,
909,20175954661,20175954661,MUNICIPALIDAD DISTRITAL DE PAUCARA,
910,20175970275,20175970275,MUNICIPALIDAD DISTRITAL DE NAVAN,
911,20175975234,20175975234,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,
912,20175975315,20175975315,MUNICIPALIDAD DISTRITAL DE OLMOS,
913,20175981471,20175981471,MUNICIPALIDAD DISTRITAL DE SAQUENA,
914,20176170876,20176170876,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE CANETE S.A.,
915,20176171503,20176171503,MUNICIPALIDAD DISTRITAL DE HUANGASCAR,
916,20176171686,20176171686,MUNICIPALIDAD DISTRITAL DE CATAHUASI,
917,20176204878,20176204878,MUNICIPALIDAD DISTRITAL DE CACHACHI,
918,20176207389,20176207389,MUNICIPALIDAD DISTRITAL DE NAMORA,
919,20176208601,20176208601,MUNICIPALIDAD DISTRITAL DE MOLINOPAMPA,
920,20176210681,20176210681,MUNICIPALIDAD DISTRITAL DE COCABAMBA,
921,20176214679,20176214679,MUNICIPALIDAD DISTRITAL DE EL CENEPA,
922,20176217694,20176217694,GOBIERNO REGIONAL DE AMAZONAS - DIRECCION REGIONAL DE SALUD AMAZONAS,
923,20176222426,20176222426,MUNICIPALIDAD DISTRITAL DE LAS AMAZONAS,
924,20176231506,20176231506,ZONA REGISTRAL NÂ° VIII SEDE HUANCAYO,
925,20176232227,20176232227,MUNICIPALIDAD DISTRITAL DE SAN MIGUEL DE CAURI,
926,20176249111,20176249111,MUNICIPALIDAD DISTRITAL DE KANARIS,
927,20176288958,20176288958,MUNICIPALIDAD DISTRITAL DE NANCHOC,
928,20176310040,20176310040,MUNICIPALIDAD DISTRITAL DE OCUCAJE,
929,20176360497,20176360497,ZONA REGISTRAL NÂ° V SEDE TRUJILLO,
930,20176422191,20176422191,MUNICIPALIDAD PROVINCIAL DE CAMANA,
931,20176689359,20176689359,MUNICIPALIDAD DISTRITAL DE MANSERICHE,
932,20176704927,20176704927,MUNICIPALIDAD DISTRITAL DE HUALLA,
933,20176705061,20176705061,MUNICIPALIDAD DISTRITAL DE ACORIA,
934,20176710064,20176710064,MUNICIPALIDAD DISTRITAL DE YAVARI,
935,20176714566,20176714566,MUNICIPALIDAD DISTRITAL DE CUNUMBUQUI,
936,20176735725,20176735725,MUNICIPALIDAD PROVINCIAL DE PASCO - CHAPIMARCA,
937,20176736021,20176736021,MUNICIPALIDAD DISTRITAL DE YANACANCHA - PASCO,
938,20176895684,20176895684,MUNICIPALIDAD DISTRITAL DE TARACO,
939,20176975289,20176975289,MUNICIPALIDAD DISTRITAL DE IGNACIO ESCUDERO,
940,20177030563,20177030563,DIRECCION DE SALUD II LIMA SUR,
941,20177217043,20177217043,MUNICIPALIDAD PROVINCIAL DEL CUSCO,
942,20177237826,20177237826,MUNICIPALIDAD DISTRITAL DE JOSE MARIA QUIMPER,
943,20177395146,20177395146,MUNICIPALIDAD DISTRITAL DE SAN SALVADOR,
944,20177427285,20177427285,MUNICIPALIDAD DISTRITAL DE COTABAMBAS,
945,20177429229,20177429229,MUNICIPALIDAD DISTRITAL DE YANATILE,
946,20177432360,20177432360,MUNICIPALIDAD DISTRITAL DE MARAS,
947,20177449254,20177449254,EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO DE CALCA SA,
948,20177653889,20177653889,MUNICIPALIDAD DISTRITAL DE ONDORES,
949,20177653960,20177653960,MUNICIPALIDAD PROVINCIAL DE JUNIN,
950,20177659224,20177659224,MUNICIPALIDAD DISTRITAL DE BELLAVISTA DE LA UNION,
951,20177662446,20177662446,MUNICIPALIDAD PROVINCIAL DEL ALTO AMAZONAS - YURIMAGUAS,
952,20177685659,20177685659,MUNICIPALIDAD DISTRITAL DE HUANCAYA,
953,20177689051,20177689051,UNIVERSIDAD NACIONAL DE TUMBES,
954,20177698122,20177698122,EMPRESA .DE SERVICIOS ELECTRICOS MUNICIPALES DE PARAMONGA S.A.,
955,20177726193,20177726193,MUNICIPALIDAD DISTRITAL DE OCALLI,
956,20177726517,20177726517,MUNICIPALIDAD DISTRITAL DE SOLOCO,
957,20177730204,20177730204,MUNICIPALIDAD DISTRITAL DE ALTO NANAY,
958,20177779041,20177779041,MUNICIPALIDAD DISTRITAL DE INCAHUASI,
959,20177840646,20177840646,MUNICIPALIDAD DISTRITAL DE JILILI,
960,20177865045,20177865045,MUNICIPALIDAD DISTRITAL DE SANTA ROSA - LA MAR,
961,20177891127,20177891127,MUNICIPALIDAD PROVINCIAL DE ANTABAMBA,
962,20177892441,20177892441,MUNICIPALIDAD DISTRITAL DE SABAINO,
963,20177901963,20177901963,MUNICIPALIDAD DISTRITAL DE SUPE,
964,20178073151,20178073151,MUNICIPALIDAD DISTRITAL DE TINGO DE SAPOSOA,
965,20178079604,20178079604,MUNICIPALIDAD DISTRITAL DE GREGORIO PITA PAUCAMARCA,
966,20178082141,20178082141,MUNICIPALIDAD DISTRITAL DE IMAZA,
967,20178082222,20178082222,MUNICIPALIDAD PROVINCIAL DE CONDORCANQUI - NIEVA,
968,20178186869,20178186869,MUNICIPALIDAD DISTRITAL DE LAREDO,
969,20178199251,20178199251,MUNICIPALIDAD DISTRITAL DE KIMBIRI,
970,20178498160,20178498160,MUNICIPALIDAD DISTRITAL DE HUICUNGO,
971,20178500083,20178500083,MUNICIPALIDAD DISTRITAL DE NUEVA CAJAMARCA,
972,20178524349,20178524349,MUNICIPALIDAD DISTRITAL DE CHACABAMBA,
973,20178534735,20178534735,MUNICIPALIDAD DISTRITAL DE PINTO RECODO,
974,20178677684,20178677684,GOBIERNO REGIONAL DE SAN MARTIN-TRANSPORTES,
975,20178679032,20178679032,GOBIERNO REGIONAL DE SAN MARTIN - UNIDAD DE GESTION EDUCATIVA LOCAL BELLAVISTA,
976,20178680049,20178680049,MUNICIPALIDAD PROVINCIAL DE MARISCAL CACERES - JUANJUI,
977,20178685431,20178685431,MUNICIPALIDAD DISTRITAL DE SAN ROQUE DE CUMBAZA,
978,20178689348,20178689348,MUNICIPALIDAD DISTRITAL DE CORRALES,
979,20178698843,20178698843,MUNICIPALIDAD DISTRITAL DE INDIANA,
980,20178825110,20178825110,SOCIEDAD DE BENEFICENCIA PUBLICA DE ICA,
981,20178826353,20178826353,MUNICIPALIDAD DISTRITAL DE CHINCHA BAJA,
982,20178833643,20178833643,MUNICIPALIDAD DISTRITAL DE CHICAMA,
983,20178839927,20178839927,SOCIEDAD DE BENEFICENCIA PUBLICA DE SAN PEDRO DE LLOC,
984,20178843282,20178843282,MUNICIPALIDAD DISTRITAL DE RAZURI,
985,20178862074,20178862074,MUNICIPALIDAD PROVINCIAL DE CHEPEN,
986,20178922581,20178922581,FONDO DE ASEGURAMIENTO EN SALUD DE LA POLICIA NACIONAL DEL PERU,
987,20179133521,20179133521,MUNICIPALIDAD DISTRITAL DE ICHOCAN,
988,20179249589,20179249589,MUNICIPALIDAD DISTRITAL DE PULAN,
989,20179249660,20179249660,MUNICIPALIDAD DISTRITAL DE LA ESPERANZA - SANTA CRUZ,
990,20179251133,20179251133,MUNICIPALIDAD DISTRITAL DE EDUARDO VILLANUEVA,
991,20179318653,20179318653,SOCIEDAD DE BENEFICENCIA PUBLICA DE LA OROYA - JUNIN,
992,20179329779,20179329779,MUNICIPALIDAD DISTRITAL DE HUAMALI,
993,20179525101,20179525101,MUNICIPALIDAD DISTRITAL DE SANTA,
994,20179697069,20179697069,MUNICIPALIDAD DISTRITAL DE PACHANGARA,
995,20179753660,20179753660,MUNICIPALIDAD DISTRITAL DE MAGDALENA DE CAO,
996,20179834317,20179834317,MUNICIPALIDAD DISTRITAL DE EL ALTO,
997,20180001051,20180001051,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,
998,20180260316,20180260316,UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA,
999,20180273051,20180273051,MUNICIPALIDAD DISTRITAL DE MARCO,
1000,20180273132,20180273132,MUNICIPALIDAD DISTRITAL DE HUARICOLCA,
1001,20180401238,20180401238,MUNICIPALIDAD DISTRITAL DE HUACRAPUQUIO,
1002,20180414992,20180414992,MUNICIPALIDAD DISTRITAL DE ACO - CONCEPCION,
1003,20180415379,20180415379,MUNICIPALIDAD DISTRITAL DE YAUYOS,
1004,20180559885,20180559885,MUNICIPALIDAD DISTRITAL DE ORURILLO,
1005,20180571311,20180571311,MUNICIPALIDAD DISTRITAL DE REQUE,
1006,20180817680,20180817680,GOBIERNO REGIONAL DE LIMA - HOSPITAL HUARAL Y SERVICIOS BASICOS DE SALUD,
1007,20180872940,20180872940,SOCIEDAD DE BENEFICENCIA PUBLICA DE CHONGOYAPE,
1008,20180961705,20180961705,MUNICIPALIDAD DISTRITAL DE TOCMOCHE,
1009,20180976214,20180976214,MUNICIPALIDAD DISTRITAL DE LA FLORIDA,
1010,20181009161,20181009161,MUNICIPALIDAD DISTRITAL DE PUNTA DE BOMBON,
1011,20181079968,20181079968,GOBIERNO REGIONAL DE AYACUCHO-SALUD,
1012,20181109891,20181109891,MUNICIPALIDAD DISTRITAL DE CIENEGUILLA,
1013,20181402921,20181402921,MUNICIPALIDAD DISTRITAL DE ROSASPATA,
1014,20181403064,20181403064,MUNICIPALIDAD DISTRITAL DE DESAGUADERO,
1015,20181429535,20181429535,MUNICIPALIDAD DISTRITAL DE QUIACA,
1016,20181430380,20181430380,MUNICIPALIDAD DISTRITAL DE CALAPUJA,
1017,20181438364,20181438364,MUNICIPALIDAD PROVINCIAL DE EL COLLAO - ILAVE,
1018,20181508168,20181508168,EMPRESA MUNICIPAL DE FESTEJOS DEL CUSCO SOCIEDAD ANONIMA,
1019,20181648091,20181648091,GOBIERNO REGIONAL DE CUSCO - DIRECCION REGIONAL DE EDUCACION,
1020,20181709066,20181709066,MUNICIPALIDAD PROVINCIAL DE CHUMBIVILCAS - SANTO TOMAS,
1021,20181753120,20181753120,GOBIERNO REGIONAL DE ICA - HOSPITAL DE APOYO SANTA MARIA DEL SOCORRO,
1022,20182029999,20182029999,MUNICIPALIDAD DISTRITAL DE GUADALUPE,
1023,20182110095,20182110095,MUNICIPALIDAD DISTRITAL DE PUTINZA,
1024,20182121453,20182121453,MUNICIPALIDAD DISTRITAL DE RIO SANTIAGO,
1025,20182126412,20182126412,MUNICIPALIDAD DISTRITAL DE PUEBLO NUEVO - FERRENAFE,
1026,20182163962,20182163962,MUNICIPALIDAD DISTRITAL DE PACANGA,
1027,20182177670,20182177670,MUNICIPALIDAD PROVINCIAL DE PARINACOCHAS - CORACORA,
1028,20182308952,20182308952,MUNICIPALIDAD PROVINCIAL DE LAURICOCHA,
1029,20182314928,20182314928,MUNICIPALIDAD DISTRITAL DE INCLAN,
1030,20182362141,20182362141,GOBIERNO REGIONAL DE HUANUCO-EDUCACION,
1031,20182750311,20182750311,MUNICIPALIDAD DISTRITAL DE ZUNIGA,
1032,20182762327,20182762327,MUNICIPALIDAD PROVINCIAL DE RODRIGUEZ DE MENDOZA - SAN NICOLAS,
1033,20182762599,20182762599,MUNICIPALIDAD DISTRITAL DE MARISCAL CASTILLA - CHACHAPOYAS,
1034,20182785611,20182785611,GOBIERNO REGIONAL DE UCAYALI - PROYECTO ESPECIAL CARRETERA FEDERICO BASADRE,
1035,20182786935,20182786935,GOBIERNO REGIONAL DE UCAYALI-DIRECCION REGIONAL SECTORIAL DE TRANSPORTES Y COMUNICACIONES,
1036,20182892964,20182892964,SOCIEDAD DE BENEFICENCIA PUBLICA DE PISCO,
1037,20182901386,20182901386,MUNICIPALIDAD DISTRITAL DE SAN BENITO,
1038,20183093941,20183093941,MUNICIPALIDAD PROVINCIAL DE JAUJA,
1039,20183717406,20183717406,POLICIA NACIONAL DEL PERU - FONDO DE APOYO FUNERARIO,
1040,20183798210,20183798210,MUNICIPALIDAD DISTRITAL DE GOYLLARISQUIZGA,
1041,20183847521,20183847521,MUNICIPALIDAD DISTRITAL DE PUNCHAO,
1042,20183850823,20183850823,MUNICIPALIDAD DISTRITAL DE VICCO,
1043,20183958781,20183958781,MUNICIPALIDAD DISTRITAL DE HONGOS,
1044,20183970055,20183970055,MUNICIPALIDAD DISTRITAL DE SANTO TOMAS - LUYA,
1045,20183972007,20183972007,MUNICIPALIDAD DISTRITAL DE MILPUC,
1046,20183984196,20183984196,MUNICIPALIDAD DISTRITAL DE YAULI - HUANCAVELICA,
1047,20183991133,20183991133,MUNICIPALIDAD DISTRITAL DE CARHUANCA,
1048,20183995121,20183995121,MUNICIPALIDAD PROVINCIAL DE PACHITEA - PANAO,
1049,20183998651,20183998651,MUNICIPALIDAD DISTRITAL DE HUARIACA,
1050,20184022207,20184022207,MUNICIPALIDAD DISTRITAL DE SAN ANDRES,
1051,20184047889,20184047889,MUNICIPALIDAD DISTRITAL DE SAN JOSE - PACASMAYO,
1052,20184048427,20184048427,MUNICIPALIDAD PROVINCIAL DE GRAN CHIMU - CASCAS,
1053,20184168082,20184168082,MUNICIPALIDAD DISTRITAL DE HUAMANQUIQUIA,
1054,20184168244,20184168244,MUNICIPALIDAD DISTRITAL DE SARHUA,
1055,20184282535,20184282535,MUNICIPALIDAD DISTRITAL DE SINGA,
1056,20184296838,20184296838,MUNICIPALIDAD DISTRITAL DE SANTA MARIA DEL VALLE,
1057,20184353904,20184353904,MUNICIPALIDAD DISTRITAL DE RICARDO PALMA,
1058,20184482208,20184482208,MUNICIPALIDAD DISTRITAL DE ISLAY,
1059,20184516111,20184516111,MUNICIPALIDAD DISTRITAL DE CHARACATO,
1060,20184760291,20184760291,MUNICIPALIDAD DISTRITAL DE AYAUCA,
1061,20184880513,20184880513,MUNICIPALIDAD DISTRITAL DE CHILETE,
1062,20185011985,20185011985,MUNICIPALIDAD DISTRITAL JOSE MANUEL QUIROZ,
1063,20185117627,20185117627,MUNICIPALIDAD DISTRITAL DE CATACHE,
1064,20185129129,20185129129,MUNICIPALIDAD DISTRITAL DE ZANA,
1065,20185269052,20185269052,MUNICIPALIDAD DISTRITAL DE VISCHONGO,
1066,20185379079,20185379079,MUNICIPALIDAD PROVINCIAL DE RECUAY,
1067,20185589804,20185589804,MUNICIPALIDAD DISTRITAL DE POCOHUANCA,
1068,20185592422,20185592422,MUNICIPALIDAD DISTRITAL DE PAPAYAL,
1069,20185603483,20185603483,GOBIERNO REGIONAL DE AMAZONAS - EDUCACION,
1070,20185603645,20185603645,MUNICIPALIDAD DISTRITAL DE VALERA,
1071,20185607471,20185607471,MUNICIPALIDAD DISTRITAL DE COPALLIN,
1072,20185607802,20185607802,MUNICIPALIDAD DISTRITAL DE MARIA,
1073,20185609171,20185609171,MUNICIPALIDAD PROVINCIAL DE LUYA - LAMUD,
1074,20185610421,20185610421,MUNICIPALIDAD DISTRITAL DE OCUMAL,
1075,20185644830,20185644830,MUNICIPALIDAD DISTRITAL DE CARHUAMAYO,
1076,20185646611,20185646611,GOBIERNO REGIONAL DE JUNIN-SALUD AIS. UTES. SATIPO,
1077,20185646964,20185646964,MUNICIPALIDAD DISTRITAL DE HUANCAN,
1078,20185655441,20185655441,MUNICIPALIDAD DISTRITAL DE ACOBAMBA - TARMA,
1079,20185665322,20185665322,GOBIERNO REGIONAL DE JUNIN - HOSPITAL DANIEL ALCIDES CARRION - HUANCAYO,
1080,20185679111,20185679111,GOBIERNO REGIONAL DE JUNIN- SALUD AIS. UTES. JUNIN,
1081,20185716172,20185716172,MUNICIPALIDAD DISTRITAL DE SAN JERONIMO DE TUNAN,
1082,20185726216,20185726216,MUNICIPALIDAD DISTRITAL DE COLCABAMBA - TAYACAJA,
1083,20185740987,20185740987,MUNICIPALIDAD DISTRITAL DE CHACAPALPA,
1084,20185763847,20185763847,MUNICIPALIDAD DISTRITAL DE PANCAN,
1085,20185777392,20185777392,MUNICIPALIDAD DISTRITAL DE ACCOMARCA,
1086,20185780342,20185780342,MUNICIPALIDAD DISTRITAL DE PAICO,
1087,20185785654,20185785654,MUNICIPALIDAD DISTRITAL DE CHIARA - HUAMANGA,
1088,20185837395,20185837395,GOBIERNO REGIONAL DE AMAZONAS - SUB REGION DE SALUD BAGUA,
1089,20185850570,20185850570,MUNICIPALIDAD DISTRITAL DE ITUATA,
1090,20185881700,20185881700,GOBIERNO REGIONAL DE PUNO-SALUD PUNO,
1091,20185892906,20185892906,MUNICIPALIDAD DISTRITAL DE ARAPA,
1092,20185896723,20185896723,MUNICIPALIDAD PROVINCIAL DE HUANCANE,
1093,20185897967,20185897967,MUNICIPALIDAD DISTRITAL DE CURAHUASI,
1094,20185898343,20185898343,GOBIERNO REGIONAL DE APURIMAC-CHANKA,
1095,20186203918,20186203918,MUNICIPALIDAD DISTRITAL DE YAUTAN,
1096,20186206852,20186206852,GOBIERNO REGIONAL DE ANCASH-SALUD UTES LA CALETA,
1097,20186443391,20186443391,MUNICIPALIDAD DISTRITAL DE MORO,
1098,20186461615,20186461615,MUNICIPALIDAD DISTRITAL DE SAMANCO,
1099,20186465793,20186465793,MUNICIPALIDAD DISTRITAL DE COMANDANTE NOEL,
1100,20186751613,20186751613,MUNICIPALIDAD DISTRITAL DE SEPAHUA,
1101,20186788886,20186788886,MUNICIPALIDAD DISTRITAL DE PALCA - TACNA,
1102,20186862954,20186862954,SOCIEDAD DE BENEFICENCIA PUBLICA DE CHICLAYO,
1103,20186864906,20186864906,MUNICIPALIDAD DISTRITAL DE YAUYUCAN,
1104,20186865384,20186865384,MUNICIPALIDAD DISTRITAL DE NINABAMBA,
1105,20187024286,20187024286,MUNICIPALIDAD DISTRITAL DE EL PARCO,
1106,20187051259,20187051259,SOCIEDAD DE BENEFICENCIA PUBLICA DE LAMAS,
1107,20187052221,20187052221,MUNICIPALIDAD PROVINCIAL DE ASCOPE,
1108,20187071284,20187071284,"EMPRESA MUNICIPAL, URBANIZADORA Y CONSTRUCTORA S.A.C.",
1109,20187125121,20187125121,SOCIEDAD DE BENEFICENCIA PUBLICA DE TARAPOTO,
1110,20187172129,20187172129,MUNICIPALIDAD PROVINCIAL DE QUISPICANCHIS - URCOS,
1111,20187346488,20187346488,MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR,
1112,20187348341,20187348341,GOBIERNO REGIONAL DE SAN MARTIN - UNIDAD DE GESTION EDUCATIVA LOCAL SAN MARTIN TARAPOTO,
1113,20187348774,20187348774,MUNICIPALIDAD DISTRITAL DE CALZADA,
1114,20187362840,20187362840,MUNICIPALIDAD DISTRITAL DE ELIAS SOPLIN VARGAS,
1115,20187377103,20187377103,MUNICIPALIDAD DISTRITAL DE LA CRUZ,
1116,20187384142,20187384142,MINAG - PROYECTO ESPECIAL - JAEN - SAN IGNACIO - BAGUA,
1117,20187384223,20187384223,MUNICIPALIDAD DISTRITAL DE PROVIDENCIA,
1118,20187387915,20187387915,MUNICIPALIDAD DISTRITAL DE COLCAMAR,
1119,20187388130,20187388130,MUNICIPALIDAD DISTRITAL DE TRITA,
1120,20187388211,20187388211,MUNICIPALIDAD DISTRITAL DE OLLEROS - CHACHAPOYAS,
1121,20187459258,20187459258,MUNICIPALIDAD PROVINCIAL DE LA CONVENCION - SANTA ANA,
1122,20187503095,20187503095,MUNICIPALIDAD DISTRITAL DE ACOS,
1123,20187630101,20187630101,MUNICIPALIDAD PROVINCIAL DE SANTIAGO DE CHUCO,
1124,20187651019,20187651019,MUNICIPALIDAD DISTRITAL DE HUAYLILLAS,
1125,20187651361,20187651361,MUNICIPALIDAD DISTRITAL DE CHILIA,
1126,20187684618,20187684618,MUNICIPALIDAD DISTRITAL DE PUEBLO NUEVO DE COLAN,
1127,20187720274,20187720274,GOBIERNO REGIONAL DE AREQUIPA - SALUD APLAO,
1128,20187806667,20187806667,MUNICIPALIDAD PROVINCIAL DE CONCEPCION,
1129,20187842388,20187842388,MUNICIPALIDAD PROVINCIAL DE VICTOR FAJARDO - HUANCAPI,
1130,20187843431,20187843431,MUNICIPALIDAD PROVINCIAL DE SUCRE - QUEROBAMBA,
1131,20188065849,20188065849,MUNICIPALIDAD DISTRITAL DE SAN JUAN DEL ORO,
1132,20188130411,20188130411,MUNICIPALIDAD DISTRITAL DE PALCAMAYO,
1133,20188234209,20188234209,MUNICIPALIDAD PROVINCIAL DE CAJATAMBO,
1134,20188297111,20188297111,MUNICIPALIDAD PROVINCIAL DE LA UNION - COTAHUASI,
1135,20188331581,20188331581,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAYTIA,
1136,20188334840,20188334840,MUNICIPALIDAD DISTRITAL DE VIQUES,
1137,20188420509,20188420509,MUNICIPALIDAD DISTRITAL DE PISACOMA,
1138,20188446133,20188446133,GOBIERNO REGIONAL DE JUNIN-SALUD AIS. UTES. CHANCHAMAYO,
1139,20188457178,20188457178,MUNICIPALIDAD DISTRITAL DE HUACHOCOLPA - TAYACAJA,
1140,20188462503,20188462503,MUNICIPALIDAD DISTRITAL DE SAUSA,
1141,20188468706,20188468706,GOBIERNO REGIONAL DE JUNIN-EDUCACION,
1142,20188469346,20188469346,MUNICIPALIDAD DISTRITAL DE LA UNION - TARMA,
1143,20188576851,20188576851,MUNICIPALIDAD DISTRITAL DE INCHUPALLA,
1144,20188720723,20188720723,MUNICIPALIDAD DISTRITAL DE CALETA DE CARQUIN,
1145,20188742450,20188742450,GOBIERNO REGIONAL DE CAJAMARCA - DIRECCION SUB REGIONAL DE SALUD JAEN,
1146,20188754890,20188754890,MUNICIPALIDAD PROVINCIAL DE SIHUAS,
1147,20188762647,20188762647,MUNICIPALIDAD DISTRITAL DE SUMBILCA,
1148,20188775111,20188775111,MUNICIPALIDAD DISTRITAL DE URARINAS,
1149,20188799729,20188799729,MUNICIPALIDAD DISTRITAL DE EL CARMEN - CHINCHA,
1150,20188808817,20188808817,MUNICIPALIDAD DISTRITAL DE GROCIO PRADO,
1151,20188903488,20188903488,MUNICIPALIDAD PROVINCIAL DE CARHUAZ,
1152,20188903569,20188903569,MUNICIPALIDAD DISTRITAL DE PARARIN,
1153,20188920498,20188920498,MUNICIPALIDAD DISTRITAL DE SAYAN,
1154,20188930027,20188930027,MUNICIPALIDAD DISTRITAL DE AUCALLAMA,
1155,20188938354,20188938354,MUNICIPALIDAD DISTRITAL DE PARAMONGA,
1156,20188945644,20188945644,MUNICIPALIDAD DISTRITAL DE ATAVILLOS BAJO,
1157,20188948741,20188948741,MUNICIPALIDAD PROVINCIAL DE HUARAL,
1158,20188957146,20188957146,MUNICIPALIDAD DISTRITAL DE PATIVILCA,
1159,20188987134,20188987134,GOBIERNO REGIONAL DE LIMA - UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 10 - HUARAL,
1160,20188992057,20188992057,MUNICIPALIDAD DISTRITAL DE MAGDALENA - CAJAMARCA,
1161,20189021764,20189021764,MUNICIPALIDAD DISTRITAL DE HUACAR,
1162,20189022655,20189022655,MUNICIPALIDAD DISTRITAL DE YONAN,
1163,20189091622,20189091622,MUNICIPALIDAD DISTRITAL DE SACSAMARCA,
1164,20189111321,20189111321,MUNICIPALIDAD DISTRITAL DE SALAS - ICA,
1165,20189212195,20189212195,MUNICIPALIDAD PROVINCIAL DE LA MAR - SAN MIGUEL,
1166,20189262451,20189262451,MUNICIPALIDAD DISTRITAL DE OXAMARCA,
1167,20189307226,20189307226,MUNICIPALIDAD PROVINCIAL DE PUERTO INCA,
1168,20189311762,20189311762,MUNICIPALIDAD DISTRITAL DE COTAPARACO,
1169,20189313544,20189313544,MUNICIPALIDAD PROVINCIAL DE OCROS,
1170,20189602571,20189602571,MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE COCACHACRA,
1171,20189848227,20189848227,MUNICIPALIDAD DISTRITAL DE SAN ANDRES LA CHECCA,
1172,20189848570,20189848570,MUNICIPALIDAD DISTRITAL DE KUNTURKANKI,
1173,20189921595,20189921595,MUNICIPALIDAD DISTRITAL DE HAQUIRA,
1174,20189921838,20189921838,MUNICIPALIDAD DISTRITAL DE MARANGANI,
1175,20189975920,20189975920,GOBIERNO REGIONAL DE CUSCO - DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES CUSCO,
1176,20189993154,20189993154,MUNICIPALIDAD DISTRITAL DE LLOCLLAPAMPA,
1177,20189996251,20189996251,MUNICIPALIDAD DISTRITAL DE MOYA,
1178,20189998466,20189998466,MUNICIPALIDAD DISTRITAL DE HUASAHUASI,
1179,20190003541,20190003541,MUNICIPALIDAD DISTRITAL DE MAZAMARI,
1180,20190166920,20190166920,MUNICIPALIDAD DISTRITAL DE SOCOTA,
1181,20190172903,20190172903,MUNICIPALIDAD DISTRITAL DE TOMAS,
1182,20190173039,20190173039,MUNICIPALIDAD DISTRITAL DE LARAOS - YAUYOS,
1183,20190173110,20190173110,MUNICIPALIDAD DISTRITAL DE MIRAFLORES - YAUYOS,
1184,20190174787,20190174787,MUNICIPALIDAD DISTRITAL DE POMACOCHA - ACOBAMBA,
1185,20190174949,20190174949,MUNICIPALIDAD DISTRITAL DE ANDABAMBA - ACOBAMBA,
1186,20190178189,20190178189,MUNICIPALIDAD DISTRITAL DE PAMPAS DE HOSPITAL,
1187,20190184821,20190184821,MUNICIPALIDAD DISTRITAL DE HUAYLLAY,
1188,20190225101,20190225101,MUNICIPALIDAD DISTRITAL DE SAMAN,
1189,20190230954,20190230954,SOCIEDAD DE BENEFICENCIA PUBLICA DE CHINCHA,
1190,20190242961,20190242961,MUNICIPALIDAD PROVINCIAL DE OXAPAMPA,
1191,20190255949,20190255949,MUNICIPALIDAD DISTRITAL DE MARISCAL CACERES,
1192,20190323294,20190323294,MUNICIPALIDAD DISTRITAL DE TUPE,
1193,20190330070,20190330070,SOCIEDAD DE BENEFICENCIA PUBLICA DE TUMBES,
1194,20190332013,20190332013,MUNICIPALIDAD DISTRITAL DE MATAPALO,
1195,20190339450,20190339450,MUNICIPALIDAD DISTRITAL DE JAMALCA,
1196,20190345182,20190345182,MUNICIPALIDAD DISTRITAL DE HUACHOCOLPA - HUANCAVELICA,
1197,20190345344,20190345344,MUNICIPALIDAD PROVINCIAL DE TAYACAJA - PAMPAS,
1198,20190345425,20190345425,MUNICIPALIDAD DISTRITAL DE VILCA,
1199,20190351824,20190351824,MUNICIPALIDAD DISTRITAL DE SANTA ANA,
1200,20190364055,20190364055,MUNICIPALIDAD DISTRITAL DE PITIPO,
1201,20190384757,20190384757,MUNICIPALIDAD DISTRITAL DE MOCHUMI,
1202,20190391613,20190391613,MUNICIPALIDAD DISTRITAL DE VILAVILA,
1203,20190520286,20190520286,MUNICIPALIDAD DISTRITAL DE SOCABAYA,
1204,20190521410,20190521410,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO DE CHUCA,
1205,20190572081,20190572081,GOBIERNO REGIONAL DE AREQUIPA - DIRECCION REGIONAL DE EDUCACION,
1206,20190583369,20190583369,MUNICIPALIDAD DISTRITAL DE SACHACA,
1207,20190584331,20190584331,MUNICIPALIDAD DISTRITAL DE SIBAYO,
1208,20190587437,20190587437,MUNICIPALIDAD DISTRITAL DE NICOLAS DE PIEROLA,
1209,20190592511,20190592511,MUNICIPALIDAD DISTRITAL DE TISCO,
1210,20190606164,20190606164,MUNICIPALIDAD DISTRITAL DE SOCOS,
1211,20190666574,20190666574,MUNICIPALIDAD DISTRITAL DE COCHABAMBA - CHOTA,
1212,20190683070,20190683070,MUNICIPALIDAD DISTRITAL DE COSPAN,
1213,20190685013,20190685013,MUNICIPALIDAD DISTRITAL DE JOSE GALVEZ,
1214,20190685102,20190685102,MUNICIPALIDAD DISTRITAL DE CORTEGANA,
