,CodProSel,CodPip,FacProSel,DesProSel,TipProSel,FecProSel
2840,6685,2184619,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,13/12/2019
2841,6686,2184619,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,9/09/2020
2842,6687,2184619,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,23/09/2020
2843,6688,2184619,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,13/10/2020
2844,6689,2184619,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,4/11/2020
2845,6690,2184619,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,31/12/2019
2846,6691,2184619,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,9/01/2020
2847,6692,2184619,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,30/06/2020
2848,6693,2184619,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,9/09/2020
2849,6694,2184619,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,4/11/2020
2850,6695,2184803,INTANGIBLES,Fecha de Actuaciones Preparatorias,PROGRAMADA,15/09/2020
2851,6696,2184803,INTANGIBLES,Fecha de Convocatoria,PROGRAMADA,22/09/2020
2852,6697,2184803,INTANGIBLES,Fecha de Integracion de Bases,PROGRAMADA,30/09/2020
2853,6698,2184803,INTANGIBLES,Fecha de Buena Pro,PROGRAMADA,6/10/2020
2854,6699,2184803,INTANGIBLES,Fecha de Suscripcion de Contrato,PROGRAMADA,9/11/2020
2855,6700,2184803,INTANGIBLES,Fecha de Actuaciones Preparatorias,ACTUALIZADA,15/09/2020
2856,6701,2184803,INTANGIBLES,Fecha de Convocatoria,ACTUALIZADA,22/09/2020
2857,6702,2184803,INTANGIBLES,Fecha de Integracion de Bases,ACTUALIZADA,30/09/2020
2858,6703,2184803,INTANGIBLES,Fecha de Buena Pro,ACTUALIZADA,6/10/2020
2859,6704,2184803,INTANGIBLES,Fecha de Suscripcion de Contrato,ACTUALIZADA,9/11/2020
2860,6707,2185024,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,10/06/2019
2861,6708,2185024,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,10/06/2019
2862,6709,2185024,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,14/06/2019
2863,6710,2185024,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,24/06/2019
2864,6711,2185024,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,19/07/2019
2865,6712,2185024,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,10/06/2019
2866,6713,2185024,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,10/06/2019
2867,6714,2185024,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,14/06/2019
2868,6715,2185024,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,24/06/2019
2869,6716,2185024,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,19/07/2019
2870,6765,2179479,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,17/08/2020
2871,6766,2179479,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,4/09/2020
2872,6767,2179479,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,16/09/2020
2873,6768,2179479,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,9/10/2020
2874,6769,2179683,MEJORAMIENTO DEL SERVICIO EN CAMINOS RURALES,Fecha de Actuaciones Preparatorias,PROGRAMADA,22/09/2017
2875,6770,2179683,MEJORAMIENTO DEL SERVICIO EN CAMINOS RURALES,Fecha de Convocatoria,PROGRAMADA,22/09/2017
2876,6771,2179683,MEJORAMIENTO DEL SERVICIO EN CAMINOS RURALES,Fecha de Integracion de Bases,PROGRAMADA,13/10/2017
2877,6772,2179683,MEJORAMIENTO DEL SERVICIO EN CAMINOS RURALES,Fecha de Buena Pro,PROGRAMADA,31/10/2017
2878,6773,2179683,MEJORAMIENTO DEL SERVICIO EN CAMINOS RURALES,Fecha de Suscripcion de Contrato,PROGRAMADA,23/11/2017
2879,6774,2179683,MEJORAMIENTO DEL SERVICIO EN CAMINOS RURALES,Fecha de Actuaciones Preparatorias,ACTUALIZADA,22/09/2017
2880,6775,2179683,MEJORAMIENTO DEL SERVICIO EN CAMINOS RURALES,Fecha de Convocatoria,ACTUALIZADA,22/09/2017
2881,6776,2179683,MEJORAMIENTO DEL SERVICIO EN CAMINOS RURALES,Fecha de Integracion de Bases,ACTUALIZADA,13/10/2017
2882,6777,2179683,MEJORAMIENTO DEL SERVICIO EN CAMINOS RURALES,Fecha de Buena Pro,ACTUALIZADA,31/10/2017
2883,6778,2179683,MEJORAMIENTO DEL SERVICIO EN CAMINOS RURALES,Fecha de Suscripcion de Contrato,ACTUALIZADA,23/11/2017
2884,6779,2180087,MEJORAMIENTO DE INFRAESTRUCTURA VIAL,Fecha de Actuaciones Preparatorias,PROGRAMADA,11/06/2020
2885,6780,2180087,MEJORAMIENTO DE INFRAESTRUCTURA VIAL,Fecha de Convocatoria,PROGRAMADA,21/07/2020
2886,6781,2180087,MEJORAMIENTO DE INFRAESTRUCTURA VIAL,Fecha de Integracion de Bases,PROGRAMADA,11/08/2020
2887,6782,2180087,MEJORAMIENTO DE INFRAESTRUCTURA VIAL,Fecha de Buena Pro,PROGRAMADA,27/08/2020
2888,6783,2180087,MEJORAMIENTO DE INFRAESTRUCTURA VIAL,Fecha de Suscripcion de Contrato,PROGRAMADA,7/09/2020
2889,6784,2180087,MEJORAMIENTO DE INFRAESTRUCTURA VIAL,Fecha de Actuaciones Preparatorias,ACTUALIZADA,3/08/2020
2890,6785,2180087,MEJORAMIENTO DE INFRAESTRUCTURA VIAL,Fecha de Convocatoria,ACTUALIZADA,12/08/2020
2891,6786,2180087,MEJORAMIENTO DE INFRAESTRUCTURA VIAL,Fecha de Integracion de Bases,ACTUALIZADA,28/08/2020
2892,6787,2180087,MEJORAMIENTO DE INFRAESTRUCTURA VIAL,Fecha de Buena Pro,ACTUALIZADA,16/09/2020
2893,6788,2180087,MEJORAMIENTO DE INFRAESTRUCTURA VIAL,Fecha de Suscripcion de Contrato,ACTUALIZADA,28/09/2020
2894,6789,2180206,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,21/09/2018
2895,6790,2180206,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,10/10/2018
2896,6791,2180206,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,29/10/2018
2897,6792,2180206,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,13/11/2018
2898,6793,2180206,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,30/11/2018
2899,6794,2180206,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,21/09/2018
2900,6795,2180206,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,10/10/2018
2901,6796,2180206,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,12/12/2018
2902,6797,2180206,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,21/12/2018
2903,6798,2180206,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,11/01/2019
2904,6799,2180272,ADECUADA INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,6/09/2019
2905,6800,2180272,ADECUADA INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,4/10/2019
2906,6801,2180272,ADECUADA INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,29/10/2019
2907,6802,2180272,ADECUADA INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,29/10/2019
2908,6803,2180272,ADECUADA INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,16/12/2019
2909,6804,2180272,ADECUADA INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,6/09/2019
2910,6805,2180272,ADECUADA INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,4/10/2019
2911,6806,2180272,ADECUADA INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,29/10/2019
2912,6807,2180272,ADECUADA INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,29/10/2019
2913,6808,2180272,ADECUADA INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,16/12/2019
2914,6827,2180333,sistema,Fecha de Actuaciones Preparatorias,PROGRAMADA,4/09/2020
2915,6828,2180333,sistema,Fecha de Convocatoria,PROGRAMADA,11/09/2020
2916,6829,2180333,sistema,Fecha de Integracion de Bases,PROGRAMADA,18/09/2020
2917,6830,2180333,sistema,Fecha de Buena Pro,PROGRAMADA,8/10/2020
2918,6831,2180333,sistema,Fecha de Suscripcion de Contrato,PROGRAMADA,12/10/2020
2919,6832,2180333,sistema,Fecha de Actuaciones Preparatorias,ACTUALIZADA,5/10/2020
2920,6833,2180333,sistema,Fecha de Convocatoria,ACTUALIZADA,27/10/2020
2921,6834,2180333,sistema,Fecha de Integracion de Bases,ACTUALIZADA,2/11/2020
2922,6835,2180333,sistema,Fecha de Buena Pro,ACTUALIZADA,6/11/2020
2923,6836,2180333,sistema,Fecha de Suscripcion de Contrato,ACTUALIZADA,27/11/2020
2924,6847,2180973,EQUIPAMIENTO,Fecha de Actuaciones Preparatorias,PROGRAMADA,25/02/2020
2925,6848,2180973,EQUIPAMIENTO,Fecha de Convocatoria,PROGRAMADA,2/03/2020
2926,6849,2180973,EQUIPAMIENTO,Fecha de Integracion de Bases,PROGRAMADA,16/03/2020
2927,6850,2180973,EQUIPAMIENTO,Fecha de Buena Pro,PROGRAMADA,24/03/2020
2928,6851,2180973,EQUIPAMIENTO,Fecha de Suscripcion de Contrato,PROGRAMADA,28/03/2020
2929,6852,2180973,EQUIPAMIENTO,Fecha de Buena Pro,ACTUALIZADA,
2930,6853,2180973,EQUIPAMIENTO,Fecha de Actuaciones Preparatorias,ACTUALIZADA,
2931,6854,2180973,EQUIPAMIENTO,Fecha de Suscripcion de Contrato,ACTUALIZADA,
2932,6855,2180973,EQUIPAMIENTO,Fecha de Integracion de Bases,ACTUALIZADA,
2933,6856,2180973,EQUIPAMIENTO,Fecha de Convocatoria,ACTUALIZADA,
2934,6857,2180980,EQUIPAMIENTO,Fecha de Convocatoria,PROGRAMADA,23/10/2019
2935,6858,2180980,EQUIPAMIENTO,Fecha de Actuaciones Preparatorias,PROGRAMADA,23/10/2019
2936,6859,2180980,EQUIPAMIENTO,Fecha de Integracion de Bases,PROGRAMADA,28/10/2019
2937,6860,2180980,EQUIPAMIENTO,Fecha de Buena Pro,PROGRAMADA,5/11/2019
2938,6861,2180980,EQUIPAMIENTO,Fecha de Suscripcion de Contrato,PROGRAMADA,18/11/2019
2939,6862,2180980,EQUIPAMIENTO,Fecha de Convocatoria,ACTUALIZADA,23/10/2019
2940,6863,2180980,EQUIPAMIENTO,Fecha de Actuaciones Preparatorias,ACTUALIZADA,23/10/2019
2941,6864,2180980,EQUIPAMIENTO,Fecha de Integracion de Bases,ACTUALIZADA,28/10/2019
2942,6865,2180980,EQUIPAMIENTO,Fecha de Buena Pro,ACTUALIZADA,5/11/2019
2943,6866,2180980,EQUIPAMIENTO,Fecha de Suscripcion de Contrato,ACTUALIZADA,18/11/2019
2944,6877,2180999,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,16/03/2020
2945,6878,2180999,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,1/04/2020
2946,6879,2180999,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,20/04/2020
2947,6880,2180999,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,4/05/2020
2948,6881,2180999,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,28/05/2020
2949,6882,2180999,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,
2950,6883,2180999,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,
2951,6884,2180999,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,
2952,6885,2180999,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,
2953,6886,2180999,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,
2954,6887,2181137,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,26/03/2018
2955,6888,2181137,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,21/05/2018
2956,6889,2181137,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,6/06/2018
2957,6890,2181137,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,12/06/2018
2958,6891,2181137,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,6/07/2018
2959,6892,2181137,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,25/04/2018
2960,6893,2181137,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,25/06/2018
2961,6894,2181137,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,6/07/2018
2962,6895,2181137,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,12/07/2018
2963,6896,2181137,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,6/08/2018
2964,6897,2181143,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,26/06/2018
2965,6898,2181143,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,27/06/2018
2966,6899,2181143,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,27/06/2018
2967,6900,2181143,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,16/07/2018
2968,6901,2181143,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,31/07/2018
2969,6902,2181143,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,26/06/2018
2970,6903,2181143,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,27/06/2018
2971,6904,2181143,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,28/06/2018
2972,6905,2181143,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,16/07/2018
2973,6906,2181143,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,31/07/2018
2974,6907,2181344,CONSTRUCCION DE LA INFRAESTRUCTURA VEHICULAR Y PEATONAL (TERCERA ETAPA),Fecha de Actuaciones Preparatorias,PROGRAMADA,21/10/2020
2975,6908,2181344,CONSTRUCCION DE LA INFRAESTRUCTURA VEHICULAR Y PEATONAL (TERCERA ETAPA),Fecha de Convocatoria,PROGRAMADA,23/10/2020
2976,6909,2181344,CONSTRUCCION DE LA INFRAESTRUCTURA VEHICULAR Y PEATONAL (TERCERA ETAPA),Fecha de Integracion de Bases,PROGRAMADA,16/11/2020
2977,6910,2181344,CONSTRUCCION DE LA INFRAESTRUCTURA VEHICULAR Y PEATONAL (TERCERA ETAPA),Fecha de Buena Pro,PROGRAMADA,26/11/2020
2978,6911,2181344,CONSTRUCCION DE LA INFRAESTRUCTURA VEHICULAR Y PEATONAL (TERCERA ETAPA),Fecha de Suscripcion de Contrato,PROGRAMADA,10/12/2020
2979,6912,2181344,CONSTRUCCION DE LA INFRAESTRUCTURA VEHICULAR Y PEATONAL (TERCERA ETAPA),Fecha de Actuaciones Preparatorias,ACTUALIZADA,10/02/2021
2980,6913,2181344,CONSTRUCCION DE LA INFRAESTRUCTURA VEHICULAR Y PEATONAL (TERCERA ETAPA),Fecha de Convocatoria,ACTUALIZADA,11/02/2021
2981,6914,2181344,CONSTRUCCION DE LA INFRAESTRUCTURA VEHICULAR Y PEATONAL (TERCERA ETAPA),Fecha de Integracion de Bases,ACTUALIZADA,23/02/2021
2982,6915,2181344,CONSTRUCCION DE LA INFRAESTRUCTURA VEHICULAR Y PEATONAL (TERCERA ETAPA),Fecha de Buena Pro,ACTUALIZADA,2/03/2021
2983,6916,2181344,CONSTRUCCION DE LA INFRAESTRUCTURA VEHICULAR Y PEATONAL (TERCERA ETAPA),Fecha de Suscripcion de Contrato,ACTUALIZADA,16/03/2021
2984,6917,2181526,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,14/04/2020
2985,6918,2181526,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,6/05/2020
2986,6919,2181526,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,19/05/2020
2987,6920,2181526,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,25/05/2020
2988,6921,2181526,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,8/06/2020
2989,6922,2181526,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,26/08/2020
2990,6923,2181526,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,26/10/2020
2991,6924,2181526,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,10/11/2020
2992,6925,2181526,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,26/11/2020
2993,6926,2181526,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,27/11/2020
2994,6927,2181756,INTANGIBLES,Fecha de Actuaciones Preparatorias,PROGRAMADA,6/07/2020
2995,6928,2181756,INTANGIBLES,Fecha de Convocatoria,PROGRAMADA,3/08/2020
2996,6929,2181756,INTANGIBLES,Fecha de Integracion de Bases,PROGRAMADA,17/08/2020
2997,6930,2181756,INTANGIBLES,Fecha de Buena Pro,PROGRAMADA,7/09/2020
2998,6931,2181756,INTANGIBLES,Fecha de Suscripcion de Contrato,PROGRAMADA,5/10/2020
2999,6932,2181756,INTANGIBLES,Fecha de Convocatoria,ACTUALIZADA,
3000,6933,2181756,INTANGIBLES,Fecha de Actuaciones Preparatorias,ACTUALIZADA,
3001,6934,2181756,INTANGIBLES,Fecha de Suscripcion de Contrato,ACTUALIZADA,
3002,6935,2181756,INTANGIBLES,Fecha de Integracion de Bases,ACTUALIZADA,
3003,6936,2181756,INTANGIBLES,Fecha de Buena Pro,ACTUALIZADA,
3004,6937,2181813,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,10/12/2018
3005,6938,2181813,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,28/12/2018
3006,6939,2181813,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,6/02/2019
3007,6940,2181813,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,6/03/2019
3008,6941,2181813,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,9/04/2019
3009,6942,2181813,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,10/12/2018
3010,6943,2181813,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,28/12/2018
3011,6944,2181813,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,6/02/2019
3012,6945,2181813,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,6/03/2019
3013,6946,2181813,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,9/04/2019
3014,6947,2181848,SENSIBILIZACION,Fecha de Convocatoria,PROGRAMADA,23/08/2018
3015,6948,2181848,SENSIBILIZACION,Fecha de Integracion de Bases,PROGRAMADA,2/10/2018
3016,6949,2181848,SENSIBILIZACION,Fecha de Buena Pro,PROGRAMADA,24/10/2018
3017,6950,2181848,SENSIBILIZACION,Fecha de Actuaciones Preparatorias,PROGRAMADA,7/11/2018
3018,6951,2181848,SENSIBILIZACION,Fecha de Suscripcion de Contrato,PROGRAMADA,12/12/2018
3019,6952,2181848,SENSIBILIZACION,Fecha de Convocatoria,ACTUALIZADA,23/08/2018
3020,6953,2181848,SENSIBILIZACION,Fecha de Integracion de Bases,ACTUALIZADA,2/10/2018
3021,6954,2181848,SENSIBILIZACION,Fecha de Buena Pro,ACTUALIZADA,24/10/2018
3022,6955,2181848,SENSIBILIZACION,Fecha de Actuaciones Preparatorias,ACTUALIZADA,7/11/2018
3023,6956,2181848,SENSIBILIZACION,Fecha de Suscripcion de Contrato,ACTUALIZADA,12/12/2018
3024,6977,2182024,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,15/10/2017
3025,6978,2182024,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,16/10/2017
3026,6979,2182024,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,23/10/2017
3027,6980,2182024,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,27/10/2017
3028,6981,2182024,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,21/11/2017
3029,6982,2182024,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,15/10/2017
3030,6983,2182024,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,16/10/2017
3031,6984,2182024,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,23/10/2017
3032,6985,2182024,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,27/10/2017
3033,6986,2182024,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,21/11/2017
3034,6987,2182121,infraestructura recreativa y deportiva,Fecha de Actuaciones Preparatorias,PROGRAMADA,22/10/2018
3035,6988,2182121,infraestructura recreativa y deportiva,Fecha de Convocatoria,PROGRAMADA,23/11/2018
3036,6989,2182121,infraestructura recreativa y deportiva,Fecha de Integracion de Bases,PROGRAMADA,3/12/2018
3037,6990,2182121,infraestructura recreativa y deportiva,Fecha de Buena Pro,PROGRAMADA,20/12/2018
3038,6991,2182121,infraestructura recreativa y deportiva,Fecha de Suscripcion de Contrato,PROGRAMADA,14/01/2019
3039,6992,2182121,infraestructura recreativa y deportiva,Fecha de Actuaciones Preparatorias,ACTUALIZADA,22/10/2018
3040,6993,2182121,infraestructura recreativa y deportiva,Fecha de Convocatoria,ACTUALIZADA,23/11/2018
3041,6994,2182121,infraestructura recreativa y deportiva,Fecha de Integracion de Bases,ACTUALIZADA,3/12/2018
3042,6995,2182121,infraestructura recreativa y deportiva,Fecha de Buena Pro,ACTUALIZADA,20/12/2018
3043,6996,2182121,infraestructura recreativa y deportiva,Fecha de Suscripcion de Contrato,ACTUALIZADA,14/01/2019
3044,6997,2182153,ADECUADA INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,Fecha de Actuaciones Preparatorias,PROGRAMADA,20/08/2018
3045,6998,2182153,ADECUADA INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,Fecha de Convocatoria,PROGRAMADA,20/09/2018
3046,6999,2182153,ADECUADA INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,Fecha de Integracion de Bases,PROGRAMADA,5/10/2018
3047,7000,2182153,ADECUADA INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,Fecha de Buena Pro,PROGRAMADA,15/10/2018
3048,7001,2182153,ADECUADA INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,Fecha de Suscripcion de Contrato,PROGRAMADA,8/11/2018
3049,7002,2182153,ADECUADA INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,20/08/2018
3050,7003,2182153,ADECUADA INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,Fecha de Convocatoria,ACTUALIZADA,20/09/2018
3051,7004,2182153,ADECUADA INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,Fecha de Integracion de Bases,ACTUALIZADA,5/10/2018
3052,7005,2182153,ADECUADA INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,Fecha de Buena Pro,ACTUALIZADA,15/10/2018
3053,7006,2182153,ADECUADA INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,Fecha de Suscripcion de Contrato,ACTUALIZADA,8/11/2018
3054,7007,2182243,CONSTRUCCION DE INFRAESTRUCTURA DE RIEGO,Fecha de Actuaciones Preparatorias,PROGRAMADA,
3055,7008,2182243,CONSTRUCCION DE INFRAESTRUCTURA DE RIEGO,Fecha de Actuaciones Preparatorias,ACTUALIZADA,
3056,7019,2182276,CONSTRUCCION DE CENTRO CÍVICO,Fecha de Actuaciones Preparatorias,PROGRAMADA,1/03/2019
3057,7020,2182276,CONSTRUCCION DE CENTRO CÍVICO,Fecha de Convocatoria,PROGRAMADA,6/03/2019
3058,7021,2182276,CONSTRUCCION DE CENTRO CÍVICO,Fecha de Integracion de Bases,PROGRAMADA,14/03/2019
3059,7022,2182276,CONSTRUCCION DE CENTRO CÍVICO,Fecha de Suscripcion de Contrato,PROGRAMADA,15/03/2019
3060,7023,2182276,CONSTRUCCION DE CENTRO CÍVICO,Fecha de Buena Pro,PROGRAMADA,15/03/2019
3061,7024,2182276,CONSTRUCCION DE CENTRO CÍVICO,Fecha de Actuaciones Preparatorias,ACTUALIZADA,
3062,7025,2182276,CONSTRUCCION DE CENTRO CÍVICO,Fecha de Convocatoria,ACTUALIZADA,
3063,7026,2182276,CONSTRUCCION DE CENTRO CÍVICO,Fecha de Buena Pro,ACTUALIZADA,
3064,7027,2182276,CONSTRUCCION DE CENTRO CÍVICO,Fecha de Suscripcion de Contrato,ACTUALIZADA,
3065,7028,2182276,CONSTRUCCION DE CENTRO CÍVICO,Fecha de Integracion de Bases,ACTUALIZADA,
3066,7029,2182369,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,29/05/2020
3067,7030,2182369,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,19/06/2020
3068,7031,2182369,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,6/07/2020
3069,7032,2182369,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,21/07/2020
3070,7033,2182369,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,12/08/2020
3071,7034,2182369,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,15/07/2020
3072,7035,2182369,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,21/07/2020
3073,7036,2182369,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,11/08/2020
3074,7037,2182369,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,24/08/2020
3075,7038,2182369,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,18/09/2020
3076,7039,2182410,PLAN DE CONTINGENCIA,Fecha de Actuaciones Preparatorias,PROGRAMADA,20/09/2019
3077,7040,2182410,PLAN DE CONTINGENCIA,Fecha de Convocatoria,PROGRAMADA,27/09/2019
3078,7041,2182410,PLAN DE CONTINGENCIA,Fecha de Integracion de Bases,PROGRAMADA,18/10/2019
3079,7042,2182410,PLAN DE CONTINGENCIA,Fecha de Buena Pro,PROGRAMADA,5/11/2019
3080,7043,2182410,PLAN DE CONTINGENCIA,Fecha de Suscripcion de Contrato,PROGRAMADA,24/12/2019
3081,7044,2182410,PLAN DE CONTINGENCIA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,25/09/2019
