,CodItem,DesCubItem
5817,144423,ARANDELA DE ACERO A PRESION DE 13 mm
5818,144425,ARANDELA DE ACERO A PRESION DE 2.8 mm
5819,144427,ARANDELA DE ACERO A PRESION DE 3.2 mm
5820,144431,ARANDELA DE ACERO A PRESION DE 8.4 mm
5821,144433,ARANDELA DE ACERO A PRESION DE 1/4 in
5822,144441,ARANDELA CUADRADA CURVA DE ACERO GALVANIZADO DE 57 mm X 18 mm X 5 mm
5823,144472,ARANDELA DE ACERO A PRESION DE 23 mm
5824,144536,ARANDELA CIRCULAR PLANA DE FIERRO DE 1/4 in X 1 in X 1/16 in
5825,145650,OLLA DE ALUMINIO DE 8 L APROX.
5826,145651,OLLA DE ALUMINIO DE 6 L APROX.
5827,145684,PAILA DE ACERO INOXIDABLE DE 16 L APROX.
5828,145717,CUCHARON DE ALUMINIO DE 250 CC.
5829,145997,JUEGO DE PLATOS DE LOZA DE 30 PIEZAS
5830,146052,"JUEGO DE VAJILLA DE ACERO INOXIDABLE X 3 PIEZAS (BANDEJA, POCILLO Y TAZA)"
5831,146100,GASOLINA LUBRICADA (90 OCTANOS + ACEITE 2T )
5832,146101,DIESEL B5
5833,146105,GAS NATURAL VEHICULAR
5834,146106,GAS NATURAL
5835,146115,ACEITE PARA SISTEMA HIDRAULICO ISO 100
5836,146116,ACEITE PARA SISTEMA HIDRAULICO ISO 150
5837,146119,ACEITE SAE 10 X 5 gal
5838,146125,ACEITE PARA SISTEMA HIDRAULICO ISO 68
5839,146142,ACEITE SAE 15W 40
5840,146143,ACEITE lUBRICANTE MULTIUSO X 100 mL
5841,146169,ACEITE LUBRICANTE ADHESIVO
5842,146176,ACEITE SAE 10W 30
5843,146177,ACEITE SAE 25 W 50
5844,146203,GRASA HT DE 500  C
5845,146240,GAS REFRIGERANTE R-12 X 13 Kg
5846,146254,ADITIVO QUIMICO PARA FLUIDOS DE PERFORACION DE POZOS X 5 gal
5847,146256,ADITIVO PARA ACEITE DE MOTOR DIESEL
5848,146274,LUBRICANTE PARA TUBERIA DE PVC
5849,146302,ALPACA
5850,146306,BOVINO BROWN SWISS VAQUILLA
5851,146308,AUDIFONO
5852,146309,PAPEL TERMICO PARA FACSIMIL 216 mm X 30 m X 6 ROLLOS
5853,146416,ANTENA PARA PUNTO DE ACCESO INHALAMBRICO (ACCESS POINT WIRELESS)
5854,146516,PROTECTOR DE CABLE COAXIAL HF - 100 W
5855,146526,MASTIL DE FIERRO GALVANIZADO DE 1/2 in X 3 m PARA ANTENA
5856,146536,RUEDA DE COLOR PARA CUBO DE SISTEMA DE VIDEO GIGANTE FRAGMENTADO (VIDEOWALL)
5857,146538,ADAPTADOR DE LENTE PARA CAMARA DE VIDEO
5858,146638,CABLE CONECTOR RJ 45 CAT 5
5859,146756,ADAPTADOR DE ENTRADA TNC A BNC
5860,146773,FIBRA OPTICA MULTIMODO DE 50/125 um DE 6 FIBRAS
5861,146932,PLANCHA DE FIBRO CEMENTO DE 4 mm X 1.22 m X 2.44 m
5862,146937,PLANCHA DE FIBRO CEMENTO ONDULADA DE 3050 mm X 1100 mm X 4 mm
5863,146938,PLANCHA DE FIBRO CEMENTO ONDULADA DE 1800 mm X 1100 mm X 5 mm
5864,146941,PLANCHA DE POLIPROPILENO DE 1.20 mm X 3.05 m X 1.16 m
5865,146955,PLANCHA TERMOACUSTICA TRAPEZOIDAL DE 2 mm X 83 cm X 4.95 m
5866,146958,PLANCHA TERMOACUSTICA DE 5 m X 80 cm
5867,147220,CANALETA DE FIERRO DE 9 cm X 8 cm X 7.5 cm
5868,147428,CANALON DE FIBROCEMENTO DE 8 mm X 1.00 m X 6.20 m
5869,147430,CUMBRERA PARA TECHO 1 AGUA
5870,147440,CUMBRERA INFERIOR PARA TEJA ANDINA DE 5 mm X 0.35 m X 0.70 m
5871,147441,CUMBRERA SUPERIOR PARA TEJA ANDINA DE 5 mm X 0.35 m X 0.70 m
5872,147445,CUMBRERA SUPERIOR PARA TEJA ANDINA COLOR BARRO
5873,147446,CUMBRERA PARA CALAMINA GALVANIZADA DE 0.50 m X 1.80 m
5874,147449,CUMBRERA DE CALAMINA LISA GALVANIZADA
5875,147452,CUMBRERA PARA PLANCHA DE POLIPROPILENO DE 0.50 m X 1.10 m
5876,147454,CIELO RASO ACUSTICO X 12 mm
5877,147465,BALDOSA PARA FALSO CIELORASO ACUSTICA DE FIBRA MINERAL DE 30 mm X 61 cm X 122 cm
5878,147483,TEJA ANDINA 1.16 m  X 0.72 m
5879,147485,TEJA ANDINA OPACA DE 5 mm X 1.14 m X 72 cm
5880,147487,TEJA ANDINA DE ARCILLA DE 1 cm X 20 cm X 47 cm APROX.
5881,147488,TEJA ANDINA DE FIBROCEMENTO DE 5 mm X 75 cm X 1.80 m APROX.
5882,147489,PLANCHA DE FIBRO CEMENTO ONDULADA TIPO TEJA ANDINA  5 mm X 74.5 cm X 1.18 m
5883,147491,TEJA ANDINA DE FIBROCEMENTO DE 5 mm X 72 cm X 1.16 m APROX.
5884,147528,CERCO DE ALAMBRE DE FIERRO CORRUGADO DE 1/4 in CON PUAS X 1.2 m
5885,147531,PERFIL PARANTE DE FIERRO GALVANIZADO DE 89 mm X 38 mm X 3.00 m PARA DRYWALL
5886,147537,AFIRMADO FINO
5887,147539,ARENA FINA
5888,147541,ARENA GRUESA
5889,147542,ARENA CONFITILLADO
5890,147550,ARENA LIMPIA DE COEFICIENTE DE UNIFORMIDAD
5891,147551,ARENA PARA RELLENO DE TERRENO HUMEDO
5892,147570,HORMIGON FINO
5893,147572,HORMIGON CONFITILLADO
5894,147573,HORMIGON
5895,147577,LADRILLO DE ARCILLA PASTELERO DE 20 X 20 X 2.5 cm
5896,147580,LADRILLO DE ARCILLA PANDERETA DE 9 cm X 11 cm X 23 cm APROX.
5897,147581,LADRILLO DE ARCILLA KING KONG DE 10 cm X 14 cm X 24 cm APROX.
5898,147590,LADRILLO DE ARCILLA TUBULAR DE 10 cm X 15 cm X 20 cm
5899,147595,LADRILLO DE ARCILLA KING KONG DE 9 cm X 13 cm X 24 cm APROX.
5900,147596,LADRILLO DE ARCILLA PARA TECHO 15 cm X 30 cm X 30 cm
5901,147597,LADRILLO PARA TECHO 12 cm X 30 cm X 30 cm
5902,147600,LADRILLO DE CONCRETO DE 9 cm X 10 cm X 24 cm
5903,147604,PIEDRA CHANCADA DE 1/2 in
5904,147606,PIEDRA PARA ZANJA
5905,147614,PIEDRA SARDINEL DE GRANEODORITA
5906,147621,PIEDRA CHANCADA DE 3/4 in
5907,147622,"PIEDRA DE 8"""
5908,147623,PIEDRA BRUTA TALLADA
5909,147626,PIEDRA PARA ENROCADO DE 1.0 m DE ANCHO APROX. (POR VOLUMEN)
5910,147629,PIEDRA BRUTA
5911,147630,PIEDRA DE 10 in A 15 in
5912,147637,PIEDRA DE 16 in
5913,147665,TIZA
5914,147672,CUARZO X 35 kg
5915,147673,EMULSION ASFALTICA CATIONICA DE ROTURA LENTA SUPERESTABLE
5916,147678,CONCRETO PREMEZCLADO FC 175 kg/cm2
5917,147681,RIPIO SARANDEADO
5918,147691,GRAVA DE CANTO RODADO DE 1/8 in X 1/6 in
5919,147699,ADITIVO EPOXICO  PARA CONCRETO
5920,147704,TIERRA PARA RELLENO
5921,147710,GRAVILLA
5922,147717,ADHESIVO SELLADOR ELASTICO DE POLIURETANO X 300 cm3
5923,147731,ALQUITRAN.
5924,147744,ADITIVO DESMOLDANTE PARA CONCRETO
5925,147750,CORDEL DE ALGODON DE 1 mm
5926,147755,ADHESIVO EPOXICO LIQUIDO X 4 L
5927,147757,ADITIVO IMPERMEABILIZANTE EN  POLVO PARA CONCRETOS Y MORTEROS
5928,147765,ADITIVO PLASTIFICANTE PARA CONCRETO
5929,147766,ADITIVO POLIMERO DISPERSANTE PARA REMOCION DE LODOS
5930,147767,ADITIVO POLIURETANO SELLADOR PARA CONCRETO PARTE A
5931,147769,ADITIVO POLIURETANO SELLADOR PARA CONCRETO PARTE A Y PARTE B X 1/4 gal
5932,147783,MANTO ASFALTICO DE 4 mm X 1 m X 10 m
5933,147788,MORTERO ASFALTICO
5934,147799,EMULSIONES ASFALTICAS CATIONICAS CON POLIMEROS
5935,147823,CAJA DE CONCRETO PARA MEDIDOR DE AGUA
5936,147824,TAPAS PARA BUZONES DE DESAGUE DE FIERRO FUNDIDO
5937,147825,TAPA CIRCULAR DE CONCRETO DE 64 cm APROX.
5938,147840,TAPA PARA BUZON DE 26 cm X 33 cm
5939,147844,TAPA PARA BUZON DE DESAGUE DE FIERRO FUNDIDO DE 60 cm DIAMETRO
5940,147847,TAPA DE FIERRO DE 12 in X 12 in PARA BUZON DE DESAGUE
5941,147850,CRUCETA DE CONCRETO ARMADO
5942,147853,MURETE DE CONCRETO DE 1.20 m X 1.20 m
5943,147860,PLACA DE DRYWALL RESISTENTE A LA HUMEDAD DE 1/2 in X 1.22 m X 2.44 m
5944,147874,ADITIVO CURADOR DE CONCRETO
5945,147876,GEOMEMBRANA HDE E-0 75 mm
5946,147906,MEDIDOR DE AGUA POTABLE DE 4 in
5947,147907,MEDIDOR DE AGUA POTABLE DE 2 in
5948,147912,PLANCHA DE YESO DRYWALL ESTANDAR DE 12 mm X 1.22 m X 2.44 m
5949,147914,PANEL DE 10 m X 2 m CON MALLA OLIMPICA DE ALAMBRE GALVANIZADO
5950,147924,GEOMALLA DE POLIPROPILENO DE 75 m X 3 m
5951,147953,PANEL DE ACERO DE 2.20 m X 3.00 m CON VERTICALES Y DIAGONALES EN C PARA PUENTE
5952,148007,ALCANTARILLA DE ACERO DE 12 mm X 36 in
5953,148009,MEDIDOR DE AGUA POTABLE DE CHORRO UNICO DN 15 mm
5954,148010,MEDIDOR DE AGUA POTABLE DE CHORRO MULTIPLE DN 25 mm
5955,148016,TANQUE DE AGUA CILINDRICO RIGIDO DE PVC DE 1100 L
5956,148033,BLOQUE DE CONCRETO ARMADO DE 20 cm X 40 cm X 40 cm CON AGUJERO
5957,148034,BLOQUE DE CONCRETO DE 15 cm X 15 cm X 2.45 m
5958,148035,BLOQUE DE CONCRETO DE 15 cm X 20 cm X 40 cm PARA PARED
5959,148038,GAVION DE 1 m X 5 m X 5 m
5960,148039,GAVION DE 1.5 m X 5 m X 5 m
5961,148040,GAVION DE 1 m X 1 m X 2 m
5962,148041,GAVION DE 50 cm X 1 m X 5 m
5963,148042,GAVIONES TIPO COLCHON 5 m X 1 m X 30 cm
5964,148043,GAVION DE 30 cm X 2 m X 5 m
5965,148050,POSTE DE CONCRETO ARMADO DE 2 m
5966,148051,POSTE DE CONCRETO ARMADO CENTRIFUGADO DE 8/300/2/120/240
5967,148052,POSTE DE CONCRETO ARMADO CENTRIFUGADO DE 9/300/2/120/255
5968,148053,POSTE DE CONCRETO ARMADO CENTRIFUGADO DE 13/300/2/180/375
5969,148054,POSTE DE CONCRETO ARMADO DE 16 m 400 daN
5970,148055,POSTE DE CONCRETO ARMADO CENTRIFUGADO DE 13/400/180/375
5971,148119,MADERA CEDRO DE 1 1/2 in X 3 in X 14 ft
5972,148181,TRIPLAY CEDRO DE 6 mm X 1.22 m X 2.44 m
5973,148194,TRIPLAY CEDRO DE 18 mm X 1.22 m X 2.44 m
5974,148204,TRIPLAY COPAIBA DE 4 mm X 1.22 m X 2.44 m
5975,148206,TRIPLAY AMAZONICO DE 18 mm X 1.22 m X 2.44 m
5976,148225,TRIPLAY AMAZONICO DE 6 mm X 1.22 m X 2.44 m
5977,148233,TRIPLAY TORNILLO DE 4 mm X 1.22 m X 1.44 m
5978,148303,MADERA TORNILLO DE 1 in X 1 1/2 in X 8 ft
5979,148340,MADERA TORNILLO DE 2 in X 2 in X 10 ft
5980,148343,MADERA TORNILLO DE 2 in X 4 in X 10 ft
5981,148368,MADERA TORNILLO DE 1 in X 9 in X 10 ft
5982,148375,MADERA TORNILLO DE 1 in X 10 in X 11 ft
5983,148426,MADERA TORNILLO MACHIMBRADA DE 3/4 in X 4 in X 10 in
5984,148430,MADERA TORNILLO DE 2 in X 2 in X 13 ft
5985,148448,MADERA TORNILLO DE 1 in X 2 in X 10 ft
5986,148454,MADERA TORNILLO DE 1 in X 8 in X 12 in
5987,148527,MADERA TORNILLO DE 2 1/2 in X 3 in X 12 ft
5988,148556,MADERA TORNILLO DE 2 in X 5 in X 10 ft
5989,148573,MADERA TORNILLO MACHIMBRADA DE 3/4 in X 4 in X 10 ft
5990,148587,MADERA TORNILLO DE 1 in X 8 in X 11 in
5991,148611,ZOCALO DE MADERA CAOBA DE 3/4 in X 4 in
5992,148620,POSTE DE MADERA EUCALIPTO DE 5 in X 11 ft APROX.
5993,148621,POSTE DE MADERA EUCALIPTO DE 2 in X 10 ft APROX.
5994,148643,POSTE DE MADERA EUCALIPTO DE 7 in X 6 ft
5995,148650,MADERA TORNILLO DE 1 1/2 in X 2 1/4 in X 8 ft
5996,148671,POSTE DE MADERA EUCALIPTO DE 2 in X 23 ft
5997,148672,MADERA TORNILLO DE 6 in X 8 in X 16 ft
5998,148680,PISO PARQUET DE MADERA BALSAMO DE 8 mm X 7 cm X 45 cm
5999,148848,TABLERO AGLOMERADO DE MADERA RECUBIERTO CON MELAMINA DE 12 mm X 1.22 m X 2.44 m
6000,149229,MADERA LUPUNA DE 2 in X 2 in X 13 in
6001,149230,MADERA LUPUNA DE 1 1/2 in X 10 in X 10 ft
6002,149236,POSTE DE MADERA EUCALIPTO DE 4 in X 20 ft
6003,149238,POSTE DE MADERA EUCALIPTO DE 4 in X 7 ft
6004,149246,POSTE DE MADERA EUCALIPTO DE 6 in X 40 ft
6005,149249,POSTE DE MADERA EUCALIPTO DE 5 in X 10 ft
6006,149252,POSTE DE MADERA EUCALIPTO DE 4 in X 8 ft
6007,149254,POSTE DE MADERA EUCALIPTO DE 4 in X 17 ft
6008,149265,TABLERO AGLOMERADO DE MADERA DE 18 mm X 2.15 m X 2.44 m
6009,149362,MADERA ROBLE DE 1 in X 8 in X 10 ft
6010,149423,MADERA ISHPINGO DE 2 in X 3 in X 10 ft APROX.
6011,149435,MADERA EUCALIPTO DE 4 in X 4 in X 16 ft
6012,149458,MADERA EUCALIPTO DE 1 in X 15 in X 10 ft
6013,149477,MADERA AGUANO MACHIMBRADA DE 1 in X 4 in X 10 ft
6014,149514,MADERA TURPAY DE 5 in X 6 in X 9 ft
6015,149530,PUERTA DE VIDRIO TEMPLADO DE 8 mm BATIENTE DE 1 HOJA CON MARCO DE ALUMINIO
6016,149578,PUERTA DE MADERA TORNILLO CONTRAPLACADA BATIENTE DE 2 HOJA
6017,149754,PUERTA DE MADERA CEDRO APANELADA CON MELAMINA DE 18 mm BATIENTE DE 1 HOJA
6018,149776,PUERTA DE MADERA TORNILLO CONTRAPLACADA BATIENTE DE 1 HOJA
6019,149800,PUERTA DE MADERA TORNILLO APANELADA BATIENTE DE 1 HOJA
6020,150093,VENTANA DE MADERA TORNILLO BATIENTE CON VIDRIO SIMPLE DE 6mm
6021,150702,VIDRIO TEMPLADO DE 8 mm
6022,150743,MARCO DE MADERA DE CEDRO PARA PUERTA DE UNA HOJA
6023,150744,CONTRAMARCO DE MADERA DE TORNILLO PARA PUERTA DE UNA HOJA
6024,150753,MARCO DE FIERRO FUNDIDO
6025,150864,ESPEJO PLANO DE VIDRIO DE 3 mm
6026,150928,PISO VINILICO DE 2 mm
6027,150940,PISO VINILICO DE 1.6 mm
6028,151006,DESLIZADOR PLASTICO
6029,151010,PLANCHA DE FIBRO CEMENTO DE 6 mm X 1.80 m X 2.30 m PARA CONSTRUCCION EN SECO
6030,151051,CORREDERA DE METAL TIPO RIEL DE 20 in
6031,151112,CESPED SINTETICO
6032,151158,CINTA PARA JUNTA DE PLANCHAS DE DRYWALL DE 2 in X 90 m
6033,151173,TABIQUERIA DE DRYWALL DE 10 cm DE ESPESOR
6034,151180,CHIMENEA DE ACERO INOXIDABLE
6035,151188,"PANEL DE ACERO CON ALUZINC DE 1.00 m X 4.15 m (PARED INT 0.5 mm, EXT 0.6 mm)"
6036,151191,ESCALERA DE FIERRO PARA EMPOTRAR
6037,151222,PIEDRA DE GRANITO
6038,151231,CERAMICA DE 33 cm X 33 cm COLOR BEIGE
6039,151248,REVESTIMIENTO DE PARED VINILICO FLEXIBLE TIPO PARQUET
6040,151251,CERAMICO PARA PISO DE 33 cm X 33 cm TRANSITO MEDIO
6041,151271,PORCELANATO PARA PISO EXTERIOR DE 50 cm X 50 cm TRANSITO ALTO
6042,151274,PIEDRA DE CANTO RODADO COLOR BLANCO
6043,151275,PIEDRA DE CANTO RODADO COLOR NEGRO
6044,151276,PIEDRA LAJA
6045,151281,PLANCHA DE POLICARBONATO SOLIDA OPACA DE 8 mm X 1.05 m X 3.87 m APROX.
6046,151292,CERAMICO PARA PISO DE 36 cm X 36 cm TRANSITO MEDIO
6047,151312,CERAMICO PARA PISO DE ALTO TRANSITO 40 cm X 40 cm
6048,151314,PISO LAMINADO DE MADERA DE ALTO TRANSITO
6049,151320,PORCELANATO PARA PISO 60 cm X 60 cm
6050,151331,CERAMICO PARA PARED DE 40 cm X 25 cm
6051,151367,ZOCALO DE CERAMICO DE 10 cm X 20 cm
6052,151377,CERAMICO PARA PARED DE 45 cm X 45 cm
6053,151378,GRANITO PREPARADO DE 1/2 in A 1 in COLOR BLANCO
6054,151398,GRIFERIA PARA LAVATORIOS
6055,151399,LAVADERO DE ACERO INOXIDABLE DE 1 POZA SIN ESCURRIDERO
6056,151400,LAVADOR DE OJOS DE ACERO INOXIDABLE
6057,151451,LAVATORIO OVALADO DE LOZA PARA SOBREPONER CON ACCESORIOS
6058,151476,GRIFERIA ELECTRICA AUTOMATICA CROMADO CON ACCESORIOS
6059,151558,VALVULA DE PASO DE BRONCE DE 3/4 in PN 16 CON ROSCA
6060,151585,LAVADERO DE ACERO INOXIDABLE DE 1 POZA CON ESCURRIDERO
6061,151587,SUMIDERO DE BRONCE DE 2 in
6062,151596,LLAVE GIRATORIA DE 1 in PARA JARDINERIA
6063,151597,REJILLA DE PVC DE 4 in
6064,151603,REJILLA DE ANGULO Y PLATINAS DE FIERRO DE 1 in PARA SUMIDERO
6065,151615,SUMIDERO DE BRONCE DE 4 in
6066,151691,ANCLAJES PARA FIJACION DE URINARIO DE 20 PIEZAS (PERNO Y UNAS DE FIJACION)
6067,151742,INODORO COMPLETO
6068,151749,BALANCIN DE BRONCE PARA VALVULA DE TANQUE DE INODORO
6069,151756,FLUXOMETRO PARA INODORO CROMADO TIPO DIAFRAGMA MANUAL
6070,151781,TENNIS BALL
6071,151815,GUITARRA DE JUGUETE
6072,151828,JUEGO DE TE DE JUGUETE PLASTICO X 6 PIEZAS
6073,151832,CAMION DE JUGUETE DE MADERA
6074,151838,CORNETA PARA NINO
6075,151845,FLOTADOR DE PLASTICO PARA PISCINA
6076,152018,JUEGO DE PANUELO DE COLORES EN BOLSO DE TELA X 5 PIEZAS
6077,152063,FIGURA DE ANIMAL DE PELUCHE JUEGO X 5 PIEZAS
6078,152067,PELOTA DE BASQUETBOL N  3
6079,152070,PELOTA DE CUERO DE VOLEY
6080,152071,PELOTA DE GOMA DE FUTBOL
6081,152072,PELOTA DE CUERO DE FUTBOL
6082,152078,JUEGO DE PELOTAS DE JEBE TAMANO CHICO X 22
6083,152086,PELOTA DE CUERO PARA BASQUETBOL
6084,152102,VALLA PARA ATLETISMO
6085,152103,VARILLA PARA SALTO ALTO
6086,152125,"JUEGO DE IMPLEMENTOS PARA BUCEO X 3 PIEZAS (VISOR, SNORCKEL, ALETAS)"
6087,152126,"JUEGO DE IMPLEMENTOS PARA EDUCACION FISICA X 3 PIEZAS (SOGA, PELOTA, TABURETE)"
6088,152149,CARRILERA PARA PISCINA DE 25 m
6089,152153,LAVADORA ELECTRICA INDUSTRIAL DE 100 Kg
6090,152649,TRANSISTOR NPN 2N2222
6091,153021,ANTENA AEREA
6092,153059,SECCIONADOR CUT - OUT 15 KV 100 A
6093,153089,DISPLAY LCD DE 4 in X 20 in
6094,153096,SENSOR DE CONTACTO PARA DETECCION DE EJES DE VEHICULOS
6095,153108,TARJETA DE TRANSMISION Y RECEPCION DE RADIOFRECUENCIA PARA PRUEBA DE CIRCUITO INTEGRADO
6096,153149,SENSOR GIROSCOPIO DIGITAL ADIS16265
6097,153700,CABLE DE ACERO GALVANIZADO CLASE A DE 10 mm 7H PARA RETENIDA
6098,153704,RETENIDA OBLICUA PARA MEDIA TENSION
6099,153705,GUARDA CABLE DE FIERRO GALVANIZADO DE 1/32 in X 8 in
6100,153706,AMARRE PREFORMADO DE ACERO GALVANIZADO DE 3/8 in
6101,153719,ESPIGA PARA AISLADOR TIPO PIN ANSI 56-2
6102,153720,ESPIGA DE ACERO GALVANIZADO DE 609 mm PARA CABEZA DE POSTE Y AISLADOR ANSI 56-4
6103,153736,EMPALME PARA CABLE DE 10 mm2
6104,153737,EMPALME PARA CABLE DE 16 mm2
6105,153738,EMPALME PARA CABLE DE 35 mm2
6106,153745,RELE DE TENSION TRIFASICA 220 V
6107,153760,AISLANTES DIELECTRICOS PARA TRANSISTOR
6108,153761,AISLADORES DE PASO DEL IGNICION
6109,153767,BAKELITA CON BOMBA DE VACIO
6110,153780,SILICONA DIELECTRICA
6111,153810,VARILLA DE PUESTA A TIERRA DE COBRE PURO DE 20 mm X 2 m
6112,153811,AISLADOR DE PVC DE 5/16 in X 10 cm PARA CABLE ELECTRICO
6113,153906,CONDUCTOR ELECTRICO RIGIDO N  12 TW
6114,153978,CABLE MELLIZO CMF DE 14 AWG
6115,154064,CABLE ELECTRICO VULCANIZADO DE 4 X 8 AWG
6116,154076,CABLE ELECTRICO FLEXIBLE DE COBRE TIPO NYY DE 1 X 2 X 6 mm2
6117,154081,CABLE MELLIZO CMF DE 16 AWG
6118,154082,CABLE ELECTRICO FLEXIBLE DE COBRE TIPO TTRF-70 (NLT) DE 12 AWG
6119,154161,CABLE ELECTRICO FLEXIBLE DE COBRE TIPO NYY DE 1 X 70 mm2
6120,154201,CABLE ELECTRICO FLEXIBLE TIPO THHN DE 500 MCM
6121,154296,CABLE ELECTRICO FLEXIBLE DE COBRE TIPO NYY DE 25 mm2
6122,154361,CABLE ELECTRICO FLEXIBLE AUTOPORTANTE DE ALUMINIO TIPO XLPE DE 3 X 35 + 1 X 16 + NA 25 mm2
6123,154363,CABLE ELECTRICO FLEXIBLE AUTOPORTANTE DE ALUMINIO TIPO XLPE DE 3 X 70 + 1 X 16 + NA 50 mm2
6124,154368,CABLE ELECTRICO FLEXIBLE DE ALUMINIO TIPO AAAC DE 35 mm2
6125,154391,CABLE ELECTRICO FLEXIBLE AUTOPORTANTE DE ALUMINIO TIPO AMKA -T DE 2 X 16 + 16 + 25 mm2
6126,154410,CABLE ELECTRICO AUTOPORTANTE ALUMINIO DE 3 X 16 + N25 mm2
6127,154422,CONDUCTOR DE ALEACION DE ALUMINIO DE 50 mm2
6128,154423,CONDUCTOR DE ALEACION DE ALUMINIO DE 70 mm2
6129,154475,CONDUCTOR ALAMBRE DE COBRE TW N  16 AWG X 100 m
6130,154477,CONDUCTOR ALAMBRE DE COBRE N  10 AWG X 100 m
6131,154485,CABLE RCA A RCA 2 DE 5 m
6132,154502,CABLE ELECTRICO FLEXIBLE DE COBRE DESNUDO DE TEMPLE DURO DE 10 mm2
6133,154538,CABLE VGA A VGA DE 1.5 m
6134,154563,CONDUCTOR DE COBRE CONCENTRICO TIPO SET DE 2X4 mm2 CON CUBIERTA DE PVC
6135,154565,CUBIERTA AISLANTE DE CONECTOR SP 14
6136,154566,CUBIERTA AISLANTE DE CONECTOR AI-Cu SP 15
6137,154570,CABLE ELECTRICO FLEXIBLE DE COBRE TIPO N2XY DE 3 X 10 mm2
6138,154586,CABLE ELECTRICO FLEXIBLE DE COBRE TIPO NYY DE 1 X 35 mm2
6139,154591,CABLE ELECTRICO FLEXIBLE DE COBRE TIPO NYY DE 3 X 120 + 70 mm2
6140,154618,VARILLA DE ARMAR DE ALUMINIO TIPO PREFORMADO PARA CABLE DE AAAC 25 mm2
6141,154629,CAJUELA CON TAPA PARA POZO A TIERRA
6142,154643,CAJA PARA CABLE UTP CAT 6 2 X 4
6143,154678,CAJA METALICA PORTAMEDIDOR DE ENERGIA PARA MEDIDOR
6144,154686,CAJA DE POZO A TIERRA CUADRADA DE CONCRETO DE 40 cm X 40 cm APROX.
6145,154693,CAJA PARA MEDIDOR TRIFASICO DE METAL DE 60 cm X 65 cm X 20 cm
6146,154812,TAPA DE FIERRO GALVANIZADO DE 1/32 in X 15 cm X 15 cm PARA CAJA DE PASE
6147,154819,BATERIA DE 3.3 V
6148,154828,BATERIA SECA 12 V 7.2 A
6149,154832,BATERIA DE 12 V 4 Ah
6150,154853,BATERIA 23 PLACAS 12 V
6151,154864,BATERIA DE 24 PLACAS 24 V
6152,154866,BATERIA DE 24 V 17 Ah
6153,154884,BANCO DE BATERIAS DE 12 V 100 Ah
6154,154892,BATERIA PARA VEHICULO TERRESTRE DE 12 V 65 Ah
6155,154911,BATERIA DE 12 V 18 Ah
6156,154912,BATERIA DE 12 V 9 Ah
6157,154924,BATERIA PARA VEHICULO TERRESTRE DE 12 V 48 Ah
6158,154956,INTERRUPTOR TERMOMAGNETICO TIPO RIEL DE 3 X 100 A
6159,155009,MICROSWITCH
6160,155059,EXTENSION DE CORRIENTE DE 1 m
6161,155093,MEDIDOR ELECTRICO TRIFASICO 220V
6162,155097,SENSOR DE CORRIENTE
6163,155138,MEDIDOR ELECTROMECANICO TRIFASICO 380/220V  60HZ
6164,155147,MEDIDOR ELECTRICO TRIFASICO 25 A
6165,155156,EXTENSION DE CORRIENTE DE 3 m
6166,155165,UNION DE METAL PARA CONECTORES PL 259
6167,155169,PRECINTO DE SEGURIDAD DE MEDIDOR DE ENERGIA DE PLASTICO
6168,155172,PRECINTO DE SEGURIDAD DE CAJA PORTAMEDIDOR DE METAL
6169,155182,MEDIDOR ELECTRICO TRIFASICO 9.9 KW
6170,155199,SOPORTE PARA CONTACTOR
6171,155206,SEGURO DE COBRE DE ALTA TENSION DE 1/4 in
6172,155221,REVELADOR DE ALTA TENSION
6173,155269,EMPALME AUTOMATICO PARA CONDUCTOR DE 25 mm
6174,155314,ELECTRODO DE COBRE DE 16 mm x 2400 mm CON ROSCA Y PUNTA CON TUERCA Y ARANDELA
6175,155326,TABLERO GENERAL ELECTRICO CON BARRA DE COBRE DE 6 CIRCUITOS
6176,155329,CONTROLADOR DE POTENCIA PARA SUB ESTACION DE MENOR VOLTAJE
6177,155335,ELECTRODO DE CINC DE 180 mm X 90 mm
6178,155361,PILA RECARGABLE TIPO D DE 1.5 V
6179,155362,PILA ALCALINA TIPO CR123A DE 3 V
6180,155402,BATERIA DE LITIO DE 7.2 V
6181,155403,BATERIA DE LITIO 12 V
6182,155503,RELE DE 150 A 220 VCA
6183,155563,BATERIA RECARGABLE DE 12 V 1.7 A
6184,155590,CONECTOR DE TUBERIA DE CONDUIT DE 1 1/2 in
6185,155592,CONECTOR DE CABLE ELECTRICO TIPO CUNA DE ALUMINIO/ALUMINIO DE 120 mm2 - 25 mm2
6186,155600,CONECTOR BIMETALICO PARA CONDUCTOR DE 50 mm2
6187,155605,CONECTOR DE COBRE TIPO ANDERSON DE 5/8 in PARA PUESTA A TIERRA
6188,155621,CONECTOR DE ALUMINIO / ALUMINIO DE 16-50 mm CON PERNOS
6189,155627,CONECTOR DE CABLE ELECTRICO TIPO CUNA DE ALUMINIO/COBRE DE 16 mm - 70 mm2
6190,155691,CONTACTOR D2510 - M6
6191,155698,CONTACTOR TRIFASICO DE 380 V 25 A
6192,155762,ENCHUFE AEREO CONECTOR REDONDO
6193,155871,INTERRUPTOR SIMPLE
